;2;2;2;2;2;2;2;2;2;2;2;2
;cost;cost;gain;gain;gain;cost;gain;gain;gain;gain;cost;gain
;saidi;severe accident risks;control of corruption;political stability and absece of violence/terrorism;electricity mix diversity;electricity import dependence;equivalent availability factor;GDP per capita;insurance penetration;government effectiveness;average outage time;ease of doing business
Suriname;6.8;4.60;50.48;56.19;0.29;0.89;57;9167;1.58;41.83;1.71;47.14
Sweden;1.9;0.01;98.56;80.95;0.53;0.82;58;50108;1.88;96.63;1.46;80.23
Switzerland;0.1;0.01;97.60;96.67;0.41;0.92;58;50108;3.89;99.52;1.00;75.80
Syrian Arab Republic;6.8;0.52;1.92;0.00;0.31;0.84;84;919;0.30;5.29;1.71;41.53
Taiwan;0.3;0.55;76.92;80.00;0.59;0.97;84;21596;3.23;87.98;1.00;81.13
Tajikistan;6.8;6.93;11.54;18.10;0.03;0.77;40;933;1.58;19.71;1.71;51.84
Tanzania;21.4;2.61;27.88;31.43;0.48;0.83;69;818;0.60;30.29;0.98;48.97
Thailand;0.8;0.39;37.02;14.76;0.39;1.00;83;5775;1.79;65.87;0.50;71.64
Togo;6.8;5.10;25.48;38.10;0.34;1.16;53;554;1.10;11.06;1.71;46.30
Trinidad and Tobago;4.7;0.12;47.12;57.62;0.01;0.98;85;16699;3.03;62.98;1.00;62.53
Tunisia;2.7;0.17;55.77;16.67;0.17;0.83;82;4274;1.58;49.04;1.08;63.32
Turkey;10.0;0.06;53.37;9.05;0.59;0.88;70;14042;1.36;62.02;2.00;69.70
Turkmenistan;6.8;0.12;5.77;42.86;0.00;0.73;85;6937;1.58;19.23;1.71;62.72
Ukraine;5.0;0.51;14.90;5.24;0.48;0.89;85;2682;1.31;34.62;2.17;61.72
United Arab Emirates;0.8;0.13;82.69;70.48;0.04;0.93;85;39300;1.78;91.35;4.00;74.22
United Kingdom;0.4;0.05;93.75;61.43;0.75;0.98;76;41196;2.44;94.23;2.00;82.57
United States of America;0.6;0.07;89.90;67.14;0.67;0.96;79;50108;3.89;89.90;2.00;82.03
Uruguay;5.6;4.34;89.42;85.24;0.49;0.80;46;13950;1.55;72.60;1.75;61.69
Uzbekistan;0.3;1.56;8.65;33.33;0.30;0.90;76;1857;0.30;27.40;3.00;57.88
Venezuela;6.8;4.66;4.33;15.71;0.39;0.65;56;12793;3.89;10.58;1.71;35.30
Vietnam;21.4;2.79;41.83;50.00;0.49;0.92;68;1685;0.74;55.29;1.98;59.04
Yemen;6.8;0.62;3.37;0.48;0.29;0.74;85;775;0.20;3.37;1.71;44.58
Zambia;21.4;6.85;46.15;53.33;0.06;0.88;40;1608;0.80;32.21;4.00;61.47
Zimbabwe;21.4;3.89;7.21;24.29;0.34;0.82;61;815;1.50;12.02;4.00;47.06
